id,is_appartment,area,added_time,bedrooms,new_building,postcode,advertiser,foto_amount,subtype,energy_value,energy_label,province
tr2535,False,271.0,143023810,4.0,0,9100,Axel Lenaerts makelaars Waasland,28.0,Woning,291.0,c,Oost-Vlaanderen
tr23300,False,109.0,138164046,3.0,0,8500,Vastgoedkantoor DEVRIESE,16.0,Woning,165.0,b,West-Vlaanderen
tr20529,False,220.0,139387041,5.0,0,9260,Dendermonde,21.0,Woning,552.0,f,Oost-Vlaanderen
tr10592,True,124.0,134201734,3.0,1,2320,ERA NOORD (Hoogstraten),20.0,Penthouse,65.0,a,Antwerpen
tr25345,False,271.0,142673313,4.0,1,1120,Latour & Petit Bxl Vente,11.0,Woning,45.0,a,Hoofdstedelijk Gewest Brussel
tr8051,True,91.8,142673313,2.0,1,1050,Latour & Petit Bxl Vente,25.0,Appartement,30.0,a,Hoofdstedelijk Gewest Brussel
tr2458,False,100.0,135742476,0.0,0,7780,GIC Immobilier Comines,9.0,Woning,274.0,d,Henegouwen
tr14460,False,180.0,142388828,3.0,0,9100,Finehomes Vastgoed & Advies,19.0,Woning,575.0,f,Oost-Vlaanderen
tr18032,False,560.0,139038948,6.0,0,8840,Vastgoed Debeuckelaere,27.0,Woning,336.0,d,West-Vlaanderen
tr24713,True,60.0,138180229,2.0,0,8420,ERA Servimo (Wenduine),19.0,Appartement,310.0,d,West-Vlaanderen
tr25738,True,89.0,142991744,2.0,1,8800,ACASA,6.0,Appartement,65.0,a,West-Vlaanderen
tr18434,False,155.0,111812487,4.0,0,5000,Ebimmo,14.0,Woning,113.0,b,Namen
tr14375,False,280.0,123821178,4.0,0,9910,Vastgoed Meetjesland,34.0,Woning,1074.0,f,Oost-Vlaanderen
tr4850,False,184.0,141184504,2.0,0,3970,Ham Matimmo Vastgoed,24.0,Eengezinswoning,336.0,d,Limburg
tr3624,True,85.0,125218972,2.0,0,4100,WOLFS L'Immobilière,13.0,Appartement,188.0,c,Luik
tr11565,False,212.0,140854449,3.0,0,2243,C21 VYTA,15.0,Woning,384.0,d,Antwerpen
tr840,True,59.0,141809717,1.0,0,1000,Oralis Real Estate,14.0,Appartement,193.0,d,Hoofdstedelijk Gewest Brussel
tr20131,False,83.0,141341703,3.0,0,8570,Immo Roman - Kantoor Kluisbergen,15.0,Woning,1359.0,f,West-Vlaanderen
tr3578,False,240.0,142589319,4.0,1,9600,Office Ronse,16.0,Woning,20.0,a,Oost-Vlaanderen
tr14642,False,290.0,135760311,5.0,0,2990,Bauwens Vastgoed,23.0,Woning,518.0,f,Antwerpen
tr15011,False,315.0,137744938,3.0,0,9400,Vizit Vastgoed,23.0,Woning,668.0,f,Oost-Vlaanderen
tr9629,True,100.0,141434068,0.0,0,2170,ERA De Kern (Merksem),8.0,Appartement,119.0,b,Antwerpen
tr14263,True,156.0,114285962,2.0,0,9050,Immo-Home,28.0,Appartement,123.0,b,Oost-Vlaanderen
tr14327,False,155.0,142739798,3.0,0,3120,Jes Vastgoed,30.0,Woning,122.0,b,Vlaams-Brabant
tr14841,False,173.0,142615495,4.0,0,6700,Double V Immo,23.0,Woning,181.0,c,Luxemburg
tr769,True,80.0,94117314,1.0,0,1030,Woningzorg - Immoview,21.0,Appartement,748.0,g,Hoofdstedelijk Gewest Brussel
tr6640,False,311.0,137908726,3.0,0,3560,Immo Benny Simons,24.0,Eengezinswoning,283.0,c,Limburg
tr807,False,149.0,142551818,4.0,0,9000,Top Vastgoed,22.0,Woning,286.0,c,Oost-Vlaanderen
tr16263,False,206.0,142563223,3.0,0,3290,Swevers Real Estate,33.0,Woning,186.0,b,Vlaams-Brabant
tr336,False,218.0,135591194,4.0,0,8500,M VASTGOED - HEULE,14.0,Villa,220.0,c,West-Vlaanderen
tr23715,False,150.0,141937142,3.0,0,3290,Immo Arnauts,24.0,Woning,65.0,a,Vlaams-Brabant
tr2686,False,154.0,141296543,2.0,0,9400,B&V Invest,21.0,Woning,534.0,f,Oost-Vlaanderen
tr23044,True,94.88,89972178,2.0,1,2500,O3 SHIFT,15.0,Penthouse,65.0,a,Antwerpen
tr10086,True,90.4,141806064,2.0,1,3740,SOM Vastgoed Hasselt,16.0,Appartement,65.0,a,Limburg
tr22911,True,86.0,140563949,2.0,0,8301,IMMO WOESTYN DUINBERGEN,10.0,Appartement,60.0,a,West-Vlaanderen
tr5616,False,100.0,110434442,0.0,0,2018,Carl Martens Immobilien ,9.0,Gemengd gebruik,1271.0,f,Antwerpen
tr3701,False,188.0,138762808,4.0,0,2060,Patrick VANDEPUTTE,40.0,Rijwoning,476.0,e,Antwerpen
tr1680,False,150.0,129432906,3.0,0,3440,Aktimmo,49.0,Woning,833.0,f,Vlaams-Brabant
tr2557,True,145.0,142156955,3.0,0,5660,Easy Home Immo Marche,18.0,Appartement,166.0,d,Namen
tr1065,False,117.0,141798529,2.0,0,9870,NOTULI,25.0,Woning,513.0,f,Oost-Vlaanderen
tr3379,False,152.0,143042311,3.0,0,3800,Vastgoedhuys  Laakdal,26.0,Woning,207.0,c,Limburg
tr15820,True,100.0,139107228,0.0,0,3500,Immo hermans,1.0,Appartementsgebouw,223.5,e,Limburg
tr18455,True,75.0,137296234,3.0,0,8700,Dewaele - Izegem,9.0,Appartement,254.0,c,West-Vlaanderen
tr26565,False,110.0,140233333,3.0,0,4420,Immobiliere Bertholome,9.0,Woning,547.0,g,Luik
tr21819,False,200.0,138184364,3.0,1,2400,Mol Matimmo Vastgoed,29.0,Eengezinswoning,65.0,a,Antwerpen
tr41,False,413.0,132136481,5.0,0,9770,ERA Bossuyt (Waregem),24.0,Villa,211.0,c,Oost-Vlaanderen
tr27061,True,98.0,142761230,2.0,1,1780,Colorcasa,28.0,Appartement,53.0,a,Vlaams-Brabant
tr1970,True,71.0,142475813,2.0,0,9032,Vastgoed De Vos,11.0,Appartement,170.0,b,Oost-Vlaanderen
tr21378,False,132.0,131233970,3.0,0,2490,Vast & Goed Makelaars,18.0,Woning,590.0,f,Antwerpen
tr17631,True,200.0,141854770,4.0,0,3700,SOM Vastgoed Hasselt,28.0,Appartementsgebouw,454.0,e,Limburg
tr3223,False,273.0,140835114,4.0,0,8870,Immo Francois - Roeselare,18.0,Woning,233.0,c,West-Vlaanderen
tr4039,False,150.0,142589317,2.0,0,9600,Office Ronse,15.0,Woning,391.0,d,Oost-Vlaanderen
tr17962,False,230.0,103066172,6.0,0,6940,Antoine Immobilier Durbuy,33.0,Woning,269.0,d,Luxemburg
tr1702,True,80.0,137649666,2.0,0,8300,IMMO DEVA,25.0,Penthouse,126.0,b,West-Vlaanderen
tr20010,False,202.0,127426052,3.0,1,3980,AVL woningbouw,13.0,Woning,0.0,a,Limburg
tr15467,True,118.0,142677293,3.0,1,2500,Heylen Vastgoed - Lier,21.0,Gelijkvloers app.,65.0,a,Antwerpen
tr23264,False,110.0,139388010,3.0,1,8553,DL Groupe - Kortrijk 056,10.0,Woning,65.0,a,West-Vlaanderen
tr3264,True,98.0,136596214,2.0,0,8380,PANORAMA Brugge,12.0,Appartement,166.0,d,West-Vlaanderen
tr2931,False,165.0,139858329,0.0,0,8870,Immo Lombaert,20.0,Woning,840.0,f,West-Vlaanderen
tr14230,False,190.0,138273147,3.0,0,3630,Jemar.be,16.0,Woning,559.0,f,Limburg
tr6892,True,29.0,135990501,0.0,0,3000,Immo Liv'it,10.0,Studio met slaaphoek,396.0,d,Vlaams-Brabant
tr4583,True,82.0,142837221,3.0,0,8300,Sharp&Wolf,15.0,Appartement,187.0,b,West-Vlaanderen
tr9535,True,54.75,135834974,0.0,1,8650,IMMO TRYBOU ,8.0,Appartement,65.0,a,West-Vlaanderen
tr18946,False,135.0,138789551,3.0,0,2660,JANSSEN EN JANSSEN Merksem,19.0,Woning,370.0,d,Antwerpen
tr744,True,110.0,141979666,2.0,0,1180,Latour & Petit Bxl Vente,13.0,Appartement,427.0,g,Hoofdstedelijk Gewest Brussel
tr23598,False,332.0,140219954,7.0,0,8501,M VASTGOED - HEULE,16.0,Woning,259.0,c,West-Vlaanderen
tr11542,False,150.0,134792041,3.0,0,1500,IMMO LINKEBEEK,15.0,Woning,650.0,f,Vlaams-Brabant
tr2058,False,110.0,134204966,3.0,0,3550,IMMOFUSION HEUSDEN-ZOLDER,30.0,Woning,554.0,f,Limburg
tr4952,False,404.0,142756058,5.0,0,8800,Bricx Vastgoed Kortrijk,33.0,Woning,259.0,c,West-Vlaanderen
tr16480,False,95.0,136612896,2.0,0,1082,Sybimmo,13.0,Eengezinswoning,820.0,g,Hoofdstedelijk Gewest Brussel
tr22536,False,100.0,139540408,0.0,0,1853,BOES & PRAET,12.0,Woning,370.0,d,Vlaams-Brabant
tr16249,True,127.0,138582835,2.0,0,9900,Vastgoed Unicum,24.0,Duplex,146.0,b,Oost-Vlaanderen
tr22752,False,185.0,141249980,4.0,0,3300,Jes Vastgoed,24.0,Koppelwoning,615.0,f,Vlaams-Brabant
tr7278,False,71.0,142589224,1.0,0,6044,L'ETUDE DES PROPRIETAIRES,10.0,Woning,610.0,g,Henegouwen
tr2553,False,147.0,138961482,2.0,0,7972,Athimmo,12.0,Woning,574.0,g,Henegouwen
tr25846,False,170.0,120783259,3.0,1,8560,ERA @t Home (Geluwe),16.0,Woning,65.0,a,West-Vlaanderen
tr17377,False,320.0,137922870,4.0,0,2220,C&M VASTGOED Heist-op-den-Berg,23.0,Woning,167.0,b,Antwerpen
tr103,False,173.0,138512032,4.0,1,9870,C-Nest Groep,16.0,Villa,65.0,a,Oost-Vlaanderen
tr14246,False,137.0,135418117,3.0,0,6250,Easy Home Immo Marche,29.0,Woning,237.0,c,Henegouwen
tr27023,False,303.0,139388239,5.0,0,2235,Heist Immo bvba,33.0,Villa,167.0,b,Antwerpen
tr135,False,179.0,138986368,4.0,0,8560,ERA Becue (Kortrijk),21.0,Woning,737.0,f,West-Vlaanderen
tr11528,True,67.0,138871174,2.0,0,8620,ERA Servimo (Nieuwpoort),12.0,Appartement,245.0,c,West-Vlaanderen
tr5982,False,175.0,143002653,3.0,1,8930,Dumobil,12.0,Woning,19.0,a,West-Vlaanderen
tr224,False,112.0,143103299,3.0,0,7130,Label Propriete,9.0,Woning,643.0,f,Henegouwen
tr1831,True,75.0,140370214,2.0,0,8400,Broker Oostende,12.0,Appartement,170.0,b,West-Vlaanderen
tr2833,False,115.0,136025871,2.0,0,5621,Les Maisons Ferrian,16.0,Eengezinswoning,666.0,g,Namen
tr11776,False,104.0,139023720,2.0,0,8800,Bordes,18.0,Woning,163.0,b,West-Vlaanderen
tr16129,False,136.0,142076761,2.0,0,3650,N78 vastgoed,18.0,Woning,325.0,d,Limburg
tr24989,False,187.0,137142921,4.0,0,1760,Topo Immo Lennik,24.0,Woning,365.0,d,Vlaams-Brabant
tr1947,True,95.0,138045941,2.0,0,2100,One Vastgoed - Deurne,11.0,Gelijkvloers app.,282.0,c,Antwerpen
tr8966,True,98.0,124788240,2.0,1,2430,Sublimmo Vastgoed,21.0,Appartement,65.0,a,Antwerpen
tr25035,True,85.1,141770634,2.0,1,8570,Eribo Stijlbouwers,26.0,Appartement,65.0,a,West-Vlaanderen
tr6669,False,130.0,143099215,0.0,0,3690,Immowel Invest BV,12.0,Hoeve,1039.0,f,Limburg
tr25849,True,80.0,130648167,2.0,0,2140,Walls Vastgoedmakelaars - Antwerpen,16.0,Appartement,148.0,b,Antwerpen
tr4735,True,53.0,130572597,1.0,0,1160,Century 21 Souverain,11.0,Serviceflat,248.0,e,Hoofdstedelijk Gewest Brussel
tr14238,True,139.0,141364972,3.0,0,8870,ROVAC IMMOBILIEN,24.0,Duplex,665.0,f,West-Vlaanderen
tr9302,False,90.0,141450826,0.0,1,3700,Geert Pierco Vastgoed,7.0,Woning,65.0,a,Limburg
tr25693,True,86.0,142388141,2.0,0,9000,Vastgoed Spruyt BVBA,14.0,Appartement,136.0,b,Oost-Vlaanderen
tr26967,False,153.0,141440538,3.0,0,3020,Leuvio,16.0,Bungalow,192.0,b,Vlaams-Brabant
tr7308,False,335.0,139850108,4.0,0,8600,ERA Vastgoed Vandenbussche (Veurne),27.0,Woning,253.0,c,West-Vlaanderen
tr26382,True,65.0,139450482,1.0,0,7700,Max'Invest,11.0,Appartement,105.0,b,Henegouwen
tr17541,True,146.0,116677902,2.0,0,1750,Unicas,7.0,Appartement,65.0,a,Vlaams-Brabant
tr19984,False,119.0,138321464,2.0,0,8800,Dewaele - Roeselare,22.0,Woning,835.0,f,West-Vlaanderen
tr23385,False,234.0,141278743,4.0,0,8510,Pottelberg Immo,30.0,Woning,268.0,c,West-Vlaanderen
tr9086,False,140.0,137815229,3.0,1,2830,Hectaar NV,15.0,Woning,65.0,a,Antwerpen
tr14858,True,62.0,140435881,1.0,0,8300,Willem Cauwels Real Estate,9.0,Appartement,107.0,b,West-Vlaanderen
tr9868,False,60.0,142379763,2.0,0,9000,Oranjeberg,17.0,Woning,152.0,b,Oost-Vlaanderen
tr9317,False,267.0,137044797,4.0,0,3140,Exclusive Housing,29.0,Villa,197.0,b,Vlaams-Brabant
tr19402,False,162.0,132290523,3.0,0,9200,NB-Projects,3.0,Woning,339.0,d,Oost-Vlaanderen
tr2016,True,109.0,121414864,3.0,1,1081,Dewaele - Brussels Tour & Taxis,37.0,Appartement,65.0,a,Hoofdstedelijk Gewest Brussel
tr22993,True,118.0,137919142,3.0,1,4100,JNP Immobilier,26.0,Appartement,57.0,a,Luik
tr5112,True,119.0,142653994,2.0,0,2820,Boonstra Vastgoed,18.0,Appartement,193.0,b,Antwerpen
tr13857,False,290.0,132185758,3.0,0,9988,ERA Thuis,23.0,Woning,355.0,d,Oost-Vlaanderen
tr16478,False,154.0,97890607,3.0,1,3680,AVL woningbouw,7.0,Woning,0.0,a,Limburg
tr10857,True,105.62,134162262,3.0,1,7000,We Invest Mons,17.0,Appartement,65.0,a,Henegouwen
tr24720,False,210.0,143020290,3.0,1,9550,Immo De Ras,28.0,Woning,65.0,a,Oost-Vlaanderen
tr2455,False,241.0,81347476,4.0,0,3700,Leroi Immobiliën,26.0,Woning,682.0,f,Limburg
tr23669,False,139.0,141984145,3.0,1,9600,Office Ronse,13.0,Woning,65.0,a,Oost-Vlaanderen
tr1502,True,97.0,137404988,2.0,0,7100,L'ETUDE DES PROPRIETAIRES,13.0,Appartement,265.0,d,Henegouwen
tr15242,True,91.5,132892720,2.0,1,2890,Nieuwbouw,18.0,Appartement,20.0,a,Antwerpen
tr10684,False,535.0,116712601,0.0,0,9220,Uw-Huis Bv,20.0,Pastorijwoning,520.0,f,Oost-Vlaanderen
tr21917,False,135.0,141274619,1.0,0,2200,Immo My Home,22.0,Woning,668.0,f,Antwerpen
tr15476,False,398.0,138261640,4.0,0,8600,Vastgoed Vanoverschelde,27.0,Woning,666.0,f,West-Vlaanderen
tr2741,True,62.58,136364046,1.0,1,5100,Latour & Petit Namur Neuf,17.0,Appartement,65.0,a,Namen
tr5703,False,184.0,140255437,3.0,0,2811,Altro Mechelen,15.0,Woning,65.0,a,Antwerpen
tr4867,False,162.0,141376938,4.0,0,9900,ERA Thuis,19.0,Woning,64.0,a,Oost-Vlaanderen
tr12632,False,180.0,142497299,3.0,0,3012,Heymans Vastgoed,30.0,Woning,264.0,c,Vlaams-Brabant
tr5058,True,132.0,129705989,3.0,1,1500,Living Stone Dilbeek,10.0,Appartement,65.0,a,Vlaams-Brabant
tr7562,False,180.0,118141115,0.0,0,3650,Vastgoed Lumaro Lanklaar,26.0,Woning,339.0,d,Limburg
tr2493,False,158.0,143016230,4.0,1,9230,Immo Da Vinci Gent,18.0,Woning,65.0,a,Oost-Vlaanderen
tr21618,True,78.0,134206792,3.0,0,2100,Bolt Immo Antwerpen,17.0,Appartement,329.0,d,Antwerpen
tr3338,True,136.0,140259092,2.0,0,1070,Best Partner Bruxelles,11.0,Duplex,959.0,g,Hoofdstedelijk Gewest Brussel
tr8402,True,65.0,143189968,2.0,0,1070,TRIANON INVEST SPRL,18.0,Appartement,148.0,c,Hoofdstedelijk Gewest Brussel
tr23566,True,61.0,138907850,1.0,0,8400,Immo Jo,12.0,Appartement,165.0,b,West-Vlaanderen
tr3531,False,245.0,141444197,4.0,0,8800,PANORAMA Brugge,15.0,Woning,105.0,b,West-Vlaanderen
tr833,False,160.0,134891372,4.0,1,6180,Immobilière Del Bianco Courcelles,26.0,Woning,65.0,a,Henegouwen
tr4000,False,223.0,141378517,4.0,0,9100,Altro Dendermonde,34.0,Woning,288.0,c,Oost-Vlaanderen
tr24216,False,193.0,139218649,3.0,1,9860,Altro Wetteren,13.0,Woning,65.0,a,Oost-Vlaanderen
tr25109,False,162.0,135401713,3.0,1,9550,Hectaar NV,12.0,Woning,65.0,a,Oost-Vlaanderen
tr4668,False,183.0,138553433,3.0,0,8840,Immostad,12.0,Woning,178.0,b,West-Vlaanderen
tr15105,False,199.59,141446368,3.0,1,3740,Markus,8.0,Eengezinswoning,20.0,a,Limburg
tr9920,True,120.0,128208960,3.0,1,7000,ABOREAL,10.0,Appartement,80.0,a,Henegouwen
tr4504,False,166.0,121997871,4.0,0,2830,Walbers Immo,24.0,Woning,363.0,d,Antwerpen
tr12124,True,39.0,141362539,1.0,0,8370,Homeway kantoor Eeklo,13.0,Appartement,92.0,a,West-Vlaanderen
tr12884,False,267.0,141904247,3.0,0,2260,Heylen Exclusief,19.0,Eengezinswoning,279.0,c,Antwerpen
tr13390,True,48.0,141242665,1.0,0,8500,Leonards Immobiliën,8.0,Appartement,303.0,d,West-Vlaanderen
tr24097,True,92.4,141984165,1.0,1,9600,Office Ronse,7.0,Appartement,65.0,a,Oost-Vlaanderen
tr14314,False,114.0,136537830,2.0,0,7170,Actualimmo,20.0,Woning,406.0,e,Henegouwen
tr26940,True,46.0,137837300,0.0,1,2000,Makelaarskantoor De Meester,3.0,Studio met slaaphoek,65.0,a,Antwerpen
tr6205,False,207.0,134272877,3.0,0,1500,Immo Roelands,17.0,Woning,381.0,d,Vlaams-Brabant
tr19366,False,694.0,131225053,7.0,0,3730,AV-VASTGOED ,36.0,Hoeve,351.0,d,Limburg
tr22651,False,184.6,127634351,3.0,0,6240,Team Construct,10.0,Woning,339.0,d,Henegouwen
tr9776,False,204.0,137924228,4.0,1,3583,Niels Vastgoed,3.0,Woning,3.5,a,Limburg
tr5750,False,366.0,139560139,6.0,0,2260,IMMO B,17.0,Villa,88.0,a,Antwerpen
tr8510,False,230.0,143107293,3.0,0,9800,Office Waregem,22.0,Woning,467.0,e,Oost-Vlaanderen
tr5061,False,266.0,139310429,3.0,0,8530,Diksimmo Diksmuide,29.0,Woning,528.0,f,West-Vlaanderen
tr6649,True,95.0,141288761,2.0,0,9900,Vastgoed De Zutter,16.0,Appartement,256.0,c,Oost-Vlaanderen
tr21209,False,230.0,129106450,5.0,0,5600,Century 21 - Immo Michaux,16.0,Eengezinswoning,578.0,g,Namen
tr25047,True,90.0,142418769,3.0,0,5100,Century 21 Primogest,22.0,Appartement,252.0,c,Namen
tr18921,False,154.0,141938732,3.0,1,8000,Huysman Bouw,3.0,Woning,0.0,a,West-Vlaanderen
tr11282,False,205.0,137152874,7.0,0,8470,Vastgoed Sinnaeve Koekelare,9.0,Woning,336.0,d,West-Vlaanderen
tr3439,False,154.0,87367370,3.0,1,9470,Huysman Bouw,9.0,Woning,0.0,a,Oost-Vlaanderen
tr22011,False,256.0,142729300,4.0,0,9500,Vastgoed Svena,18.0,Woning,173.0,b,Oost-Vlaanderen
tr18585,False,185.0,142125997,3.0,0,3400,SOM Vastgoed Hasselt,37.0,Woning,179.0,b,Vlaams-Brabant
tr16109,True,213.0,127004923,3.0,0,2018,JANSSEN EN JANSSEN Gooreind Wuustwezel,27.0,Appartement,104.0,b,Antwerpen
tr20152,False,100.0,134257470,0.0,0,9100,Hestor,1.0,Woning,643.0,f,Oost-Vlaanderen
tr25999,False,206.0,138237066,4.0,0,3700,Vastgoed Centrale BVBA,17.0,Woning,144.0,b,Limburg
tr16776,False,289.0,138436489,4.0,0,9890,Vastgoed De Haes,6.0,Woning,237.0,c,Oost-Vlaanderen
tr9343,True,87.0,138529771,2.0,0,4000,A & H d'Affnay,14.0,Appartement,217.0,c,Luik
tr23802,True,98.0,138785961,2.0,0,7000,We Invest Mons,17.0,Appartement,708.0,g,Henegouwen
tr17630,False,151.0,141434330,3.0,0,8940,Unknown,14.0,Woning,500.0,e,West-Vlaanderen
tr12508,False,176.0,134979902,3.0,0,5190,Team Construct,4.0,Woning,339.0,d,Namen
tr15005,False,212.0,141804908,4.0,0,9600,DMG Vastgoed,17.0,Woning,65.0,a,Oost-Vlaanderen
tr14687,False,154.0,142465033,3.0,1,9940,Huysman Bouw,8.0,Woning,0.0,a,Oost-Vlaanderen
tr22218,False,243.0,138428049,4.0,0,3700,Zaken en immokantoor Goffin,45.0,Woning,263.0,c,Limburg
tr12422,True,106.0,141448798,2.0,0,2235,Van Eylen Charo,18.0,Appartement,225.0,c,Antwerpen
tr13659,False,122.0,137188009,2.0,0,9032,Vastgoed De Vos,16.0,Woning,548.0,f,Oost-Vlaanderen
tr15646,False,135.0,137637437,3.0,1,7730,Hectaar NV,10.0,Woning,65.0,a,Henegouwen
tr22976,False,291.0,126939449,3.0,0,3051,LED-on-IMMO,44.0,Woning,337.0,d,Vlaams-Brabant
tr9625,True,44.0,139649334,1.0,0,8400,Immax Brugge,13.0,Penthouse,437.0,e,West-Vlaanderen
tr9568,False,201.0,125136527,3.0,0,3128,BVBA Vastgoed De Cat,29.0,Eengezinswoning,1158.0,f,Vlaams-Brabant
tr7754,False,151.0,137568704,3.0,0,9041,Immo Bert,25.0,Eengezinswoning,80.0,a,Oost-Vlaanderen
tr355,False,131.0,132995289,3.0,1,9420,Immo De Ras,18.0,Woning,100.0,a,Oost-Vlaanderen
tr13270,False,182.0,133415029,5.0,1,2600,Hillewaere Turnhout,26.0,Herenwoning,65.0,a,Antwerpen
tr17165,True,164.0,134203815,4.0,1,9280,Huyzen Dendermonde,9.0,Appartement,65.0,a,Oost-Vlaanderen
tr13639,True,95.06,140315579,2.0,1,3950,Immo Ginis,11.0,Appartement,65.0,a,Limburg
tr15786,True,67.0,142487992,2.0,0,8301,RH Vastgoed,9.0,Appartement,65.0,a,West-Vlaanderen
tr9774,False,60.0,110788122,2.0,0,9170,Van Hoye Vastgoed,14.0,Woning,748.0,f,Oost-Vlaanderen
tr19752,False,190.0,131524441,4.0,0,3078,Immo Vermast,20.0,Woning,299.0,c,Vlaams-Brabant
tr16383,False,107.0,131095083,3.0,0,3650,N78 vastgoed,49.0,Woning,949.0,f,Limburg
tr4289,True,99.0,138165417,2.0,0,9230,ERA Wonen (Gent),13.0,Appartement,447.0,e,Oost-Vlaanderen
tr9780,True,135.0,135567291,3.0,0,8670,Immo Maritiem bvba,18.0,Penthouse,120.0,b,West-Vlaanderen
tr7479,True,60.0,139736365,2.0,0,8300,Alex Dewulf N.V.,19.0,Appartement,265.0,c,West-Vlaanderen
tr5377,False,227.0,138460623,4.0,1,9880,Dewaele - Aalter,11.0,Woning,65.0,a,Oost-Vlaanderen
tr20769,False,188.5,139083449,3.0,0,9660,Immo Nobels,32.0,Woning,537.0,f,Oost-Vlaanderen
tr11650,False,143.0,135133600,3.0,0,2610,Reant,26.0,Woning,647.0,f,Antwerpen
tr3583,True,65.0,142027062,1.0,0,9100,Immo-Service Sint-Niklaas,7.0,Appartementsgebouw,119.0,b,Oost-Vlaanderen
